video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,450020.7300312857,33.00207678275183,449987.727954503,450020.7300312857,386871.6632471976,63149.06678408815,0.0,21,4.0,4.0,7.777777777777778
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,450194.27781265887,31.550940600514878,450162.72687205835,450194.27781265887,387077.2746538134,63117.00315884547,0.8636363636363636,11,4.0,3.7,7.194444444444445
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,454326.3706063615,123.49686087621376,454202.87374548527,454326.3706063615,376847.5544058829,77478.81620047858,0.7,10,4.0,3.4,6.611111111111111
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,450020.7299311774,34.077069185092114,449986.6528619923,450020.7299311774,387263.82494344126,62756.90498773614,0.8181818181818182,11,4.0,3.1,6.027777777777778
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,456491.25220468716,99.81942648504628,456391.4327782021,456491.2522046872,381350.8250734988,75140.4271311884,0.85,10,4.0,2.8,5.444444444444444
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,450020.7300312857,31.877556578838266,449988.8524747069,450020.7300312857,386871.6632471976,63149.06678408815,0.0,11,5.0,5.0,9.72222222222222
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,450108.4479266533,32.50466501142364,450075.9432616419,450108.4479266533,387065.87704554416,63042.57088110916,0.8181818181818182,11,5.0,4.7,9.13888888888889
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,450020.7299311774,33.00610676733777,449987.72382441006,450020.7299311774,387263.82494344126,62756.90498773614,0.8636363636363636,11,5.0,4.1,7.972222222222221
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,451893.96887840715,15.3704807178583,451878.5983976893,451893.9688784072,386354.7100216208,65539.25885678641,0.0,10,7.0,7.0,13.61111111111111
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,454018.569380873,136.00079472578363,453882.5685861472,454018.569380873,386301.19044935104,67717.37893152196,0.4,10,7.0,6.4,12.444444444444445
